id,GENUS,SPECIES,COMNAME
1,Fremontodendron,californicum,California flannelbush
2,Triteleia,laxa,Ithuriels spear
3,Mimulus,primuloides,Primrose monkeyflower
4,Viola,sheltonii,Sheltons violet
5,Polemonium,californicum,Showy Jacobs ladder
6,Chaenactis,douglasii,Douglas dustymaiden
7,Castilleja,lineariloba,Pale owls clover
8,Zigadenus,venenosus,Death camas
9,Arabis,platysperma,Broad-seeded rock-cress
10,Calyptridium,monospermum,One-seeded pussy paws
11,Streptanthus,diversifolius,Varied-leaved jewelflower
12,Lilium,pardalinum,Leopard lily
13,Lomatium,torreyi,Torreys lomatium
14,Penstemon,davidsonii,Alpine penstemon
15,Lithophragma,affine,Woodland star
16,Sphenosciadium,capitellatum,Rangers buttons
17,Geranium,molle,Doves-foot geranium
18,Gilia,mediomontana,Globe gilia
19,Dudleya,cymosa,Canyon dudleya
20,Smilacina,racemosa,Large false Solomons seal
21,Asarum,hartwegii,Hartwegs wild ginger
22,Lewisia,glandulosa,Alpine lewisia
23,Heracleum,lanatum,Cow parsnip
24,Gilia,leptalea,Bridges gilia
25,Rumex,paucifolia,Alpine sheep sorrel
26,Juncus,nevadensis,Sierra Nevada rush
27,Carex,limosa,Mud sedge
28,Draperia,systyla,Draperia
29,Asclepias,speciosa,Showy milkweed
30,Triphysaria,eriantha,Butter and eggs
31,Parvisedum,pumilum,Sierra stonecrop
32,Eriogonum,incanum,Hoary buckwheat
33,Angelica,lineariloba,Sierra angelica
34,Sarcodes,sanguinea,Snow plant
35,Erigeron,algidus,Sierra daisy
36,Aquilegia,pubescens,Alpine columbine
37,Arenaria,kingii,Kings sandwort
38,Eriophyllum,lanatum,Woolly sunflower
39,Orthilia,secunda,One-sided wintergreen
40,Phyllodoce,breweri,Red mountain heather
41,Phlox,condensata,Condensed phlox
42,Clarkia,rhomboidea,Diamond clarkia
43,Lupinus,polyphyllus,Large-leaved lupine
44,Penstemon,parvulus,Purple penstemon
45,Epilobium,angustifolium,Fireweed
46,Viola,quercetorum,Oak violet
47,Senecio,hydrophilus,Water groundsel
48,Hypericum,anagalloides,Tinkers penny
49,Mimulus,bicolor,Yellow-and-white monkeyflower
50,Ligusticum,grayi,Lovage
